"Statistic Label","Year","Sex","NACE Rev 2 Sector","Age Group","UNIT","VALUE"
"Median Annual Earnings","2012","Both sexes","Information and communication (J)","15 years and over","€","47412"
"Median Annual Earnings","2012","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","41366"
"Median Annual Earnings","2012","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","33890"
"Median Annual Earnings","2012","Both sexes","Administrative and support service activities (N)","15 years and over","€","24535"
"Median Annual Earnings","2012","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","44537"
"Median Annual Earnings","2012","Both sexes","Education (P)","15 years and over","€","47570"
"Median Annual Earnings","2012","Both sexes","Human health and social work activities (Q)","15 years and over","€","33920"
"Median Annual Earnings","2012","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","20608"
"Median Annual Earnings","2012","Both sexes","All NACE economic sectors","15 years and over","€","32900"
"Median Annual Earnings","2012","Male","Industry (B to E)","15 years and over","€","39722"
"Median Annual Earnings","2012","Male","Construction (F)","15 years and over","€","34873"
"Median Annual Earnings","2012","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","27553"
"Median Annual Earnings","2012","Male","Transportation and storage (H)","15 years and over","€","38131"
"Median Annual Earnings","2012","Male","Accommodation and food service activities (I)","15 years and over","€","19701"
"Median Annual Earnings","2012","Male","Information and communication (J)","15 years and over","€","51558"
"Median Annual Earnings","2012","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","51628"
"Median Annual Earnings","2012","Male","Professional, scientific and technical activities (M)","15 years and over","€","41920"
"Median Annual Earnings","2012","Male","Administrative and support service activities (N)","15 years and over","€","27003"
"Median Annual Earnings","2012","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","48084"
"Median Annual Earnings","2012","Male","Education (P)","15 years and over","€","54596"
"Median Annual Earnings","2012","Male","Human health and social work activities (Q)","15 years and over","€","38249"
"Median Annual Earnings","2012","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","25520"
"Median Annual Earnings","2012","Male","All NACE economic sectors","15 years and over","€","36860"
"Median Annual Earnings","2012","Female","Industry (B to E)","15 years and over","€","31430"
"Median Annual Earnings","2012","Female","Construction (F)","15 years and over","€","21401"
"Median Annual Earnings","2012","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","18993"
"Median Annual Earnings","2012","Female","Transportation and storage (H)","15 years and over","€","28887"
"Median Annual Earnings","2012","Female","Accommodation and food service activities (I)","15 years and over","€","16188"
"Median Annual Earnings","2012","Female","Information and communication (J)","15 years and over","€","40024"
"Median Annual Earnings","2012","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","36483"
"Median Annual Earnings","2012","Female","Professional, scientific and technical activities (M)","15 years and over","€","28746"
"Median Annual Earnings","2012","Female","Administrative and support service activities (N)","15 years and over","€","19545"
"Median Annual Earnings","2012","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","39647"
"Median Annual Earnings","2012","Female","Education (P)","15 years and over","€","45270"
"Median Annual Earnings","2012","Female","Human health and social work activities (Q)","15 years and over","€","32900"
"Median Annual Earnings","2012","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","17827"
"Median Annual Earnings","2012","Female","All NACE economic sectors","15 years and over","€","29189"
"Median Annual Earnings","2013","Both sexes","Industry (B to E)","15 years and over","€","37348"
"Median Annual Earnings","2013","Both sexes","Construction (F)","15 years and over","€","33248"
"Median Annual Earnings","2013","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","23185"
"Median Annual Earnings","2013","Both sexes","Transportation and storage (H)","15 years and over","€","36183"
"Median Annual Earnings","2013","Both sexes","Accommodation and food service activities (I)","15 years and over","€","17798"
"Median Annual Earnings","2013","Both sexes","Information and communication (J)","15 years and over","€","48999"
"Median Annual Earnings","2013","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","41955"
"Median Annual Earnings","2013","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","34267"
"Median Annual Earnings","2013","Both sexes","Administrative and support service activities (N)","15 years and over","€","24588"
"Median Annual Earnings","2013","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","45024"
"Median Annual Earnings","2013","Both sexes","Education (P)","15 years and over","€","47754"
"Median Annual Earnings","2013","Both sexes","Human health and social work activities (Q)","15 years and over","€","33873"
"Median Annual Earnings","2013","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","20489"
"Median Annual Earnings","2013","Both sexes","All NACE economic sectors","15 years and over","€","33059"
"Median Annual Earnings","2013","Male","Industry (B to E)","15 years and over","€","40014"
"Median Annual Earnings","2013","Male","Construction (F)","15 years and over","€","35327"
"Median Annual Earnings","2013","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","27762"
"Median Annual Earnings","2013","Male","Transportation and storage (H)","15 years and over","€","37968"
"Median Annual Earnings","2013","Male","Accommodation and food service activities (I)","15 years and over","€","19535"
"Median Annual Earnings","2013","Male","Information and communication (J)","15 years and over","€","53360"
"Median Annual Earnings","2013","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","51999"
"Median Annual Earnings","2013","Male","Professional, scientific and technical activities (M)","15 years and over","€","41902"
"Median Annual Earnings","2013","Male","Administrative and support service activities (N)","15 years and over","€","27015"
"Median Annual Earnings","2013","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","48997"
"Median Annual Earnings","2013","Male","Education (P)","15 years and over","€","54160"
"Median Annual Earnings","2013","Male","Human health and social work activities (Q)","15 years and over","€","37732"
"Median Annual Earnings","2013","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","25139"
"Median Annual Earnings","2013","Male","All NACE economic sectors","15 years and over","€","36907"
"Median Annual Earnings","2013","Female","Industry (B to E)","15 years and over","€","32036"
"Median Annual Earnings","2013","Female","Construction (F)","15 years and over","€","21596"
"Median Annual Earnings","2013","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","19051"
"Median Annual Earnings","2013","Female","Transportation and storage (H)","15 years and over","€","29326"
"Median Annual Earnings","2013","Female","Accommodation and food service activities (I)","15 years and over","€","16095"
"Median Annual Earnings","2013","Female","Information and communication (J)","15 years and over","€","41002"
"Median Annual Earnings","2013","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","36973"
"Median Annual Earnings","2013","Female","Professional, scientific and technical activities (M)","15 years and over","€","29198"
"Median Annual Earnings","2013","Female","Administrative and support service activities (N)","15 years and over","€","19791"
"Median Annual Earnings","2013","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","40128"
"Median Annual Earnings","2013","Female","Education (P)","15 years and over","€","45658"
"Median Annual Earnings","2013","Female","Human health and social work activities (Q)","15 years and over","€","32962"
"Median Annual Earnings","2013","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","17885"
"Median Annual Earnings","2013","Female","All NACE economic sectors","15 years and over","€","29526"
"Median Annual Earnings","2014","Both sexes","Industry (B to E)","15 years and over","€","37999"
"Median Annual Earnings","2014","Both sexes","Construction (F)","15 years and over","€","33675"
"Median Annual Earnings","2014","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","23790"
"Median Annual Earnings","2014","Both sexes","Transportation and storage (H)","15 years and over","€","36322"
"Median Annual Earnings","2014","Both sexes","Accommodation and food service activities (I)","15 years and over","€","17841"
"Median Annual Earnings","2014","Both sexes","Information and communication (J)","15 years and over","€","50902"
"Median Annual Earnings","2014","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","42437"
"Median Annual Earnings","2014","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","35000"
"Median Annual Earnings","2014","Both sexes","Administrative and support service activities (N)","15 years and over","€","25142"
"Median Annual Earnings","2014","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","45371"
"Median Annual Earnings","2014","Both sexes","Education (P)","15 years and over","€","46750"
"Median Annual Earnings","2014","Both sexes","Human health and social work activities (Q)","15 years and over","€","33634"
"Median Annual Earnings","2014","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","20442"
"Median Annual Earnings","2014","Both sexes","All NACE economic sectors","15 years and over","€","33323"
"Median Annual Earnings","2014","Male","Industry (B to E)","15 years and over","€","40468"
"Median Annual Earnings","2014","Male","Construction (F)","15 years and over","€","35506"
"Median Annual Earnings","2014","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","28198"
"Median Annual Earnings","2014","Male","Transportation and storage (H)","15 years and over","€","38340"
"Median Annual Earnings","2014","Male","Accommodation and food service activities (I)","15 years and over","€","19783"
"Median Annual Earnings","2014","Male","Information and communication (J)","15 years and over","€","55750"
"Median Annual Earnings","2014","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","52500"
"Median Annual Earnings","2014","Male","Professional, scientific and technical activities (M)","15 years and over","€","42753"
"Median Annual Earnings","2014","Male","Administrative and support service activities (N)","15 years and over","€","27394"
"Median Annual Earnings","2014","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","49606"
"Median Annual Earnings","2014","Male","Education (P)","15 years and over","€","52907"
"Median Annual Earnings","2014","Male","Human health and social work activities (Q)","15 years and over","€","36780"
"Median Annual Earnings","2014","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","25433"
"Median Annual Earnings","2014","Male","All NACE economic sectors","15 years and over","€","36999"
"Median Annual Earnings","2014","Female","Industry (B to E)","15 years and over","€","32629"
"Median Annual Earnings","2014","Female","Construction (F)","15 years and over","€","22076"
"Median Annual Earnings","2014","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","19512"
"Median Annual Earnings","2014","Female","Transportation and storage (H)","15 years and over","€","29920"
"Median Annual Earnings","2014","Female","Accommodation and food service activities (I)","15 years and over","€","16115"
"Median Annual Earnings","2014","Female","Information and communication (J)","15 years and over","€","41706"
"Median Annual Earnings","2014","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","37361"
"Median Annual Earnings","2014","Female","Professional, scientific and technical activities (M)","15 years and over","€","29845"
"Median Annual Earnings","2014","Female","Administrative and support service activities (N)","15 years and over","€","20495"
"Median Annual Earnings","2014","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","41041"
"Median Annual Earnings","2014","Female","Education (P)","15 years and over","€","44639"
"Median Annual Earnings","2014","Female","Human health and social work activities (Q)","15 years and over","€","32917"
"Median Annual Earnings","2014","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","17734"
"Median Annual Earnings","2014","Female","All NACE economic sectors","15 years and over","€","29857"
"Median Annual Earnings","2015","Both sexes","Industry (B to E)","15 years and over","€","38118"
"Median Annual Earnings","2015","Both sexes","Construction (F)","15 years and over","€","33321"
"Median Annual Earnings","2015","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","24386"
"Median Annual Earnings","2015","Both sexes","Transportation and storage (H)","15 years and over","€","36203"
"Median Annual Earnings","2015","Both sexes","Accommodation and food service activities (I)","15 years and over","€","18200"
"Median Annual Earnings","2015","Both sexes","Information and communication (J)","15 years and over","€","52132"
"Median Annual Earnings","2015","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","42658"
"Median Annual Earnings","2015","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","35986"
"Median Annual Earnings","2015","Both sexes","Administrative and support service activities (N)","15 years and over","€","25706"
"Median Annual Earnings","2015","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","45437"
"Median Annual Earnings","2015","Both sexes","Education (P)","15 years and over","€","47228"
"Median Annual Earnings","2015","Both sexes","Human health and social work activities (Q)","15 years and over","€","33830"
"Median Annual Earnings","2015","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","20560"
"Median Annual Earnings","2015","Both sexes","All NACE economic sectors","15 years and over","€","33688"
"Median Annual Earnings","2015","Male","Industry (B to E)","15 years and over","€","40396"
"Median Annual Earnings","2015","Male","Construction (F)","15 years and over","€","34966"
"Median Annual Earnings","2015","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","28872"
"Median Annual Earnings","2015","Male","Transportation and storage (H)","15 years and over","€","37733"
"Median Annual Earnings","2015","Male","Accommodation and food service activities (I)","15 years and over","€","20280"
"Median Annual Earnings","2015","Male","Information and communication (J)","15 years and over","€","57078"
"Median Annual Earnings","2015","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","51924"
"Median Annual Earnings","2015","Male","Professional, scientific and technical activities (M)","15 years and over","€","43327"
"Median Annual Earnings","2015","Male","Administrative and support service activities (N)","15 years and over","€","27932"
"Median Annual Earnings","2015","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","48533"
"Median Annual Earnings","2015","Male","Education (P)","15 years and over","€","52763"
"Median Annual Earnings","2015","Male","Human health and social work activities (Q)","15 years and over","€","36658"
"Median Annual Earnings","2015","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","25626"
"Median Annual Earnings","2015","Male","All NACE economic sectors","15 years and over","€","37038"
"Median Annual Earnings","2015","Female","Industry (B to E)","15 years and over","€","33190"
"Median Annual Earnings","2015","Female","Construction (F)","15 years and over","€","22000"
"Median Annual Earnings","2015","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","19980"
"Median Annual Earnings","2015","Female","Transportation and storage (H)","15 years and over","€","30389"
"Median Annual Earnings","2015","Female","Accommodation and food service activities (I)","15 years and over","€","16525"
"Median Annual Earnings","2015","Female","Information and communication (J)","15 years and over","€","42499"
"Median Annual Earnings","2015","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","37498"
"Median Annual Earnings","2015","Female","Professional, scientific and technical activities (M)","15 years and over","€","30583"
"Median Annual Earnings","2015","Female","Administrative and support service activities (N)","15 years and over","€","20911"
"Median Annual Earnings","2015","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","41510"
"Median Annual Earnings","2015","Female","Education (P)","15 years and over","€","44897"
"Median Annual Earnings","2015","Female","Human health and social work activities (Q)","15 years and over","€","33106"
"Median Annual Earnings","2015","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","17926"
"Median Annual Earnings","2015","Female","All NACE economic sectors","15 years and over","€","30272"
"Median Annual Earnings","2016","Both sexes","Industry (B to E)","15 years and over","€","38591"
"Median Annual Earnings","2016","Both sexes","Construction (F)","15 years and over","€","33653"
"Median Annual Earnings","2016","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","25164"
"Median Annual Earnings","2016","Both sexes","Transportation and storage (H)","15 years and over","€","36561"
"Median Annual Earnings","2016","Both sexes","Accommodation and food service activities (I)","15 years and over","€","18754"
"Median Annual Earnings","2016","Both sexes","Information and communication (J)","15 years and over","€","52838"
"Median Annual Earnings","2016","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","43205"
"Median Annual Earnings","2016","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","37486"
"Median Annual Earnings","2016","Both sexes","Administrative and support service activities (N)","15 years and over","€","26436"
"Median Annual Earnings","2016","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","44611"
"Median Annual Earnings","2016","Both sexes","Education (P)","15 years and over","€","45823"
"Median Annual Earnings","2016","Both sexes","Human health and social work activities (Q)","15 years and over","€","33618"
"Median Annual Earnings","2016","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","20789"
"Median Annual Earnings","2016","Both sexes","All NACE economic sectors","15 years and over","€","33912"
"Median Annual Earnings","2016","Male","Industry (B to E)","15 years and over","€","40766"
"Median Annual Earnings","2016","Male","Construction (F)","15 years and over","€","35000"
"Median Annual Earnings","2016","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","29553"
"Median Annual Earnings","2016","Male","Transportation and storage (H)","15 years and over","€","38502"
"Median Annual Earnings","2016","Male","Accommodation and food service activities (I)","15 years and over","€","20933"
"Median Annual Earnings","2016","Male","Information and communication (J)","15 years and over","€","57863"
"Median Annual Earnings","2016","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","52499"
"Median Annual Earnings","2016","Male","Professional, scientific and technical activities (M)","15 years and over","€","44776"
"Median Annual Earnings","2016","Male","Administrative and support service activities (N)","15 years and over","€","28722"
"Median Annual Earnings","2016","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","47967"
"Median Annual Earnings","2016","Male","Education (P)","15 years and over","€","51864"
"Median Annual Earnings","2016","Male","Human health and social work activities (Q)","15 years and over","€","36106"
"Median Annual Earnings","2016","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","25562"
"Median Annual Earnings","2016","Male","All NACE economic sectors","15 years and over","€","37328"
"Median Annual Earnings","2016","Female","Industry (B to E)","15 years and over","€","33530"
"Median Annual Earnings","2016","Female","Construction (F)","15 years and over","€","22744"
"Median Annual Earnings","2016","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","20654"
"Median Annual Earnings","2016","Female","Transportation and storage (H)","15 years and over","€","30402"
"Median Annual Earnings","2016","Female","Accommodation and food service activities (I)","15 years and over","€","17025"
"Median Annual Earnings","2016","Female","Information and communication (J)","15 years and over","€","43179"
"Median Annual Earnings","2016","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","38015"
"Median Annual Earnings","2016","Female","Professional, scientific and technical activities (M)","15 years and over","€","31996"
"Median Annual Earnings","2016","Female","Administrative and support service activities (N)","15 years and over","€","21590"
"Median Annual Earnings","2016","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","41098"
"Median Annual Earnings","2016","Female","Education (P)","15 years and over","€","43562"
"Median Annual Earnings","2016","Female","Human health and social work activities (Q)","15 years and over","€","33004"
"Median Annual Earnings","2016","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","18283"
"Median Annual Earnings","2016","Female","All NACE economic sectors","15 years and over","€","30507"
"Median Annual Earnings","2017","Both sexes","Industry (B to E)","15 years and over","€","39138"
"Median Annual Earnings","2017","Both sexes","Construction (F)","15 years and over","€","34264"
"Median Annual Earnings","2017","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","25625"
"Median Annual Earnings","2017","Both sexes","Transportation and storage (H)","15 years and over","€","36079"
"Median Annual Earnings","2017","Both sexes","Accommodation and food service activities (I)","15 years and over","€","19293"
"Median Annual Earnings","2017","Both sexes","Information and communication (J)","15 years and over","€","54714"
"Median Annual Earnings","2017","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","44353"
"Median Annual Earnings","2017","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","38331"
"Median Annual Earnings","2017","Both sexes","Administrative and support service activities (N)","15 years and over","€","27418"
"Median Annual Earnings","2017","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","45562"
"Median Annual Earnings","2017","Both sexes","Education (P)","15 years and over","€","47040"
"Median Annual Earnings","2017","Both sexes","Human health and social work activities (Q)","15 years and over","€","34360"
"Median Annual Earnings","2017","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","21221"
"Median Annual Earnings","2017","Both sexes","All NACE economic sectors","15 years and over","€","34658"
"Median Annual Earnings","2017","Male","Industry (B to E)","15 years and over","€","41250"
"Median Annual Earnings","2017","Male","Construction (F)","15 years and over","€","35546"
"Median Annual Earnings","2017","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","30121"
"Median Annual Earnings","2017","Male","Transportation and storage (H)","15 years and over","€","37871"
"Median Annual Earnings","2017","Male","Accommodation and food service activities (I)","15 years and over","€","21719"
"Median Annual Earnings","2017","Male","Information and communication (J)","15 years and over","€","59656"
"Median Annual Earnings","2017","Male","Financial, insurance and real estate activities (K,L)","15 years and over","€","53588"
"Median Annual Earnings","2017","Male","Professional, scientific and technical activities (M)","15 years and over","€","45784"
"Median Annual Earnings","2017","Male","Administrative and support service activities (N)","15 years and over","€","29818"
"Median Annual Earnings","2017","Male","Public administration and defence; compulsory social security (O)","15 years and over","€","48793"
"Median Annual Earnings","2017","Male","Education (P)","15 years and over","€","53081"
"Median Annual Earnings","2017","Male","Human health and social work activities (Q)","15 years and over","€","36653"
"Median Annual Earnings","2017","Male","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","26018"
"Median Annual Earnings","2017","Male","All NACE economic sectors","15 years and over","€","37960"
"Median Annual Earnings","2017","Female","Industry (B to E)","15 years and over","€","34166"
"Median Annual Earnings","2017","Female","Construction (F)","15 years and over","€","23500"
"Median Annual Earnings","2017","Female","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","20943"
"Median Annual Earnings","2017","Female","Transportation and storage (H)","15 years and over","€","30723"
"Median Annual Earnings","2017","Female","Accommodation and food service activities (I)","15 years and over","€","17447"
"Median Annual Earnings","2017","Female","Information and communication (J)","15 years and over","€","45014"
"Median Annual Earnings","2017","Female","Financial, insurance and real estate activities (K,L)","15 years and over","€","38958"
"Median Annual Earnings","2017","Female","Professional, scientific and technical activities (M)","15 years and over","€","32776"
"Median Annual Earnings","2017","Female","Administrative and support service activities (N)","15 years and over","€","22814"
"Median Annual Earnings","2017","Female","Public administration and defence; compulsory social security (O)","15 years and over","€","42064"
"Median Annual Earnings","2017","Female","Education (P)","15 years and over","€","44555"
"Median Annual Earnings","2017","Female","Human health and social work activities (Q)","15 years and over","€","33748"
"Median Annual Earnings","2017","Female","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","18746"
"Median Annual Earnings","2017","Female","All NACE economic sectors","15 years and over","€","31153"
"Median Annual Earnings","2018","Both sexes","Industry (B to E)","15 years and over","€","40560"
"Median Annual Earnings","2018","Both sexes","Construction (F)","15 years and over","€","35669"
"Median Annual Earnings","2018","Both sexes","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","26328"
"Median Annual Earnings","2018","Both sexes","Transportation and storage (H)","15 years and over","€","37443"
"Median Annual Earnings","2018","Both sexes","Accommodation and food service activities (I)","15 years and over","€","19900"
"Median Annual Earnings","2018","Both sexes","Information and communication (J)","15 years and over","€","56464"
"Median Annual Earnings","2018","Both sexes","Financial, insurance and real estate activities (K,L)","15 years and over","€","46036"
"Median Annual Earnings","2018","Both sexes","Professional, scientific and technical activities (M)","15 years and over","€","39642"
"Median Annual Earnings","2018","Both sexes","Administrative and support service activities (N)","15 years and over","€","28639"
"Median Annual Earnings","2018","Both sexes","Public administration and defence; compulsory social security (O)","15 years and over","€","46101"
"Median Annual Earnings","2018","Both sexes","Education (P)","15 years and over","€","47584"
"Median Annual Earnings","2018","Both sexes","Human health and social work activities (Q)","15 years and over","€","35235"
"Median Annual Earnings","2018","Both sexes","Arts, entertainment, recreation and other service activities (R,S)","15 years and over","€","21842"
"Median Annual Earnings","2018","Both sexes","All NACE economic sectors","15 years and over","€","35786"
"Median Annual Earnings","2018","Male","Industry (B to E)","15 years and over","€","42606"
"Median Annual Earnings","2018","Male","Construction (F)","15 years and over","€","37222"
"Median Annual Earnings","2018","Male","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","15 years and over","€","30993"
"Median Annual Earnings","2018","Male","Transportation and storage (H)","15 years and over","€","39391"
"Median Annual Earnings","2018","Male","Accommodation and food service activities (I)","15 years and over","€","22520"
"Median Annual Earnings","2018","Male","Information and communication (J)","15 years and over","€","61802"
