Year,NACE Rev 2 Sector,Difference in Earnings (€),Difference in Annual Change (%),Gender Pay Gap (%),Change in Gender Pay Gap (%)
2023,Transportation and storage (H),6519.0,1.9,15.1,1.59
2011,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8598.0,,31.14,
2012,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8560.0,-0.1,31.07,-0.07
2013,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8711.0,0.5,31.38,0.31
2014,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8686.0,-0.8,30.8,-0.58
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8892.0,0.0,30.8,0.0
2016,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8899.0,-1.0,30.11,-0.69
2017,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),9178.0,0.5,30.47,0.36
2018,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),9533.0,0.4,30.76,0.29
2019,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),9850.0,-0.3,30.56,-0.2
2020,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),8930.0,-6.1,26.55,-4.01
2021,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),9419.0,0.7,27.06,0.51
2022,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),10379.0,2.9,29.13,2.07
2023,Wholesale and retail trade; repair of motor vehicles and motorcycles (G),10722.0,-0.3,28.93,-0.2
